R00830	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
R00832	ARGININE-N-SUCCINYLTRANSFERASE-RXN
R00833	METHYLMALONYL-COA-MUT-RXN
R00834	ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN
R00835	RXN-14819
R00836	TREHALOSE6PSYN-RXN
R00837	TRE6PHYDRO-RXN
R00838	MALTOSE-6-PHOSPHATE-GLUCOSIDASE-RXN
R00839	6-PHOSPHO-BETA-GLUCOSIDASE-RXN
R00841	RXN-14965
R00842	1.1.1.8-RXN
R00844	GLYC3PDEHYDROGBIOSYN-RXN
R00845	1.1.1.177-RXN
R00846	GLYCEROL-3-PHOSPHATE-OXIDASE-RXN
R00847	GLYCEROL-KIN-RXN
R00850	2.7.1.142-RXN
R00851	RXN-1381
R00853	2.4.1.137-RXN
R00854	2.4.1.96-RXN
R00855	CDP-GLYCEROL-PYROPHOSPHATASE-RXN
R00856	2.7.7.39-RXN
R00857	GLYCPDIESTER-RXN
R00858	SULFITE-REDUCT-RXN
R00859	SULFITE-REDUCTASE-FERREDOXIN-RXN
R00860	ADENYLYLSULFATE-REDUCTASE-RXN
R00861	RXN-17803
R00863	RXN0-279
R00866	KETOHEXOKINASE-RXN
R00868	MANNITOL-2-DEHYDROGENASE-RXN
R00870	MANNITOL-2-DEHYDROGENASE-NADP+-RXN
R00871	FRUCTOSE-5-DEHYDROGENASE-NADP+-RXN
R00873	FRUCTOSE-5-DEHYDROGENASE-RXN
R00874	1.1.99.28-RXN
R00875	RXN-7644
R00877	MANNOSE-ISOMERASE-RXN
R00880	GDP-MANNOSE-6-DEHYDROGENASE-RXN
R00881	RXN0-5108
R00883	MANNPGUANYLTRANGDP-RXN
R00885	2.7.7.13-RXN
R00888	GDPMANDEHYDRA-RXN
R00892	CYSTINE-REDUCTASE-NADH-RXN
R00893	CYSTEINE-DIOXYGENASE-RXN
R00894	GLUTCYSLIG-RXN
R00895	CYSTEINE-AMINOTRANSFERASE-RXN
R00897	ACSERLY-RXN
R00899	RXN-6622
R00900	GSCYSDEG-RXN
R00901	CYSTEINE-LYASE-RXN
R00904	RXN-12332
R00905	BETA-UREIDOPROPIONASE-RXN
R00906	BETA-ALANOPINE-DEHYDROGENASE-RXN
R00907	2.6.1.18-RXN
R00908	RXN-2901
R00909	N-ACETYL-BETA-ALANINE-DEACETYLASE-RXN
R00913	GUANIDINOPROPIONASE-RXN
R00918	ERYTHRONOLIDE-SYNTHASE-RXN
R00919	RXN-9087
R00920	PROPANOATECOA-LIGASE-RXN
R00921	PTAALT-RXN
R00922	1.2.1.27-RXN
R00923	METHYLMALONYL-COA-DECARBOXYLASE-RXN
