R00449	LYSINE-2-MONOOXYGENASE-RXN
R00181	ADP-DEAMINASE-RXN
R05196	RXN-12391
R05636	DXS-RXN
R02831	ORSELLINATE-DECARBOXYLASE-RXN
R06690	RXN-14830
R01199	PYFLAVOXRE-RXN
R02539	RXN-10819
R08220	RXN-12252
R10091	RXN-13056
R00048	HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN
R12969	GALACTOSYLCERAMIDASE-RXN
R02828	NITRILE-HYDRATASE-RXN
R10391	RXN-22593
R01172	RXN-13671
R11516	RXN-17985
R04456	1.5.99.9-RXN
R05798	2.8.2.29-RXN
R12366	RXN-20373
R01245	RXN0-363
R01434	RXN-13184
R10390	H2SOXIREDPYRO-RXN
R06143	RXN-16484
R03901	RXN-16174
R03743	BETA-LACTAMASE-RXN
R01404	RXN-21663
R03964	2-HYDROXYBIPHENYL-3-MONOOXYGENASE-RXN
R06306	1.14.99.37-RXN
R04177	4.1.1.78-RXN
R11088	RXN-15698
R00540	3.5.5.2-RXN
R07445	RXN-22835
R10312	RXN-14401
R07281	DIOHBUTANONEPSYN-RXN
R02687	RXN-22976
R06978	R102-RXN
R00220	THREDEHYD-RXN
R01207	R381-RXN
R01676	RXN-15261
R09595	RXN-11299
R00856	2.7.7.39-RXN
R03681	RXN-7667
R09470	RXN-19418
R05258	RXN-8739
R00238	RXN-21761
R00181	ATP-DEAMINASE-RXN
R12766	RXN-23065
R02585	PROTEIN-TYROSINE-PHOSPHATASE-RXN
R00540	RXN-1404
R10185	RXN0-6732
R09380	RXN-15045
R00390	RXN0-7239
R06299	RXN-15704
R11037	RXN-16480
R03434	RXN-17490
R05780	RXN-1761
R01121	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN
R12602	RXN-20690
R10652	RXN0-6366
R06272	RXN-5286
R05305	RXN-12570
R02208	CHOLESTENONE-5-ALPHA-REDUCTASE-RXN
R03696	METHYLASPARTATE-AMMONIA-LYASE-RXN
R00012	2.7.7.45-RXN
R00535	RXN-20215
R09819	RXN-12717
R10967	RXN-17845
R04558	GLUTAMIDOTRANS-RXN
R01071	ATPPHOSPHORIBOSYLTRANS-RXN
R02768	RXN-21680
R10250	2.1.1.146-RXN
R06438	RXN-15048
R11309	3.2.1.11-RXN
R04950	RXN-23604
R11867	RXN-19013
R01680	RXN-22805
R01945	2.3.1.99-RXN
R02336	DHLBXANAU-RXN
R01626	RXN-20490
R12236	RXN-18468
R07631	4.2.3.25-RXN
R07738	RXN-18748
R04798	RXN-19142
R10249	RXN-12939
R03697	RXN66-591
R05074	RXN-20791
R04482	5.3.3.10-RXN
R03698	RXN-8151
R09997	RXN-8130
R11543	RXN-17700
R10532	RXN-11380
R00014	ACETOLACTSYN-RXN
R01012	2.7.1.121-RXN
R12379	RXN-19723
R06134	NICOTINAMID-RXN
R09560	RXN-10843
R01383	RXN-19361
R06423	RXN-12810
R10403	2.1.1.109-RXN
R09380	RXN-17018
R01624	RXN-10059
R01496	RXN-20360
R11860	RXN-18984
R11604	ARG-OXIDATION-RXN
R06986	2.4.1.232-RXN
R12236	RXN1G-285
R12161	RXN-19229
R02145	GUANOSINE-DEAMINASE-RXN
R09952	RXN-14178
R05000	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
R00372	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
R04730	6.3.2.25-RXN
R08700	RXN0-2023
R09831	RXN-12270
R03736	RIFAMYCIN-B-OXIDASE-RXN
R05630	RXN-22610
R09381	RXN-17009
R08618	RXN-14147
R10116	RXN-21696
R08086	RXN-11970
R08991	RXN0-4181
R02218	RXN-21981
R05510	RXN-9868
R06051	RXN-7668
R12804	RXN-19444
R07865	RXN1F-19
R06134	RXN-6562
R08247	RXN0-5304
R09934	RXN-10628
R11887	RXNQT-4332
R04550	RXN-20787
R04278	1.2.1.45-RXN
R07002	RXNQT-4363
R10301	RXN-18814
R08547	RXN-16751
R02776	1.1.1.134-RXN
R10475	RXN-9485
R12802	RXN-20936
R10116	RXN-9514
R11592	RXN0-746
R02437	RHAMNISOM-RXN
R08661	RXN-1442
R04632	RXN-18286
R02630	RXN-15165
R09683	RXN-11767
R02971	PANTETHEINE-KINASE-RXN
R07364	R147-RXN
R11030	RXN-23270
R08568	RXN-10031
R12509	RXN-20448
R03385	1.14.12.4-RXN
R03770	HYGROMYCIN-B-KINASE-RXN
R11258	RXN-17132
R05788	RXN-13694
R04285	1.1.1.220-RXN
R12626	RXN-21140
R08174	RXN-9624
R01923	RXN-21778
R04277	RXN-2462
R03049	11-CIS-RETINYL-PALMITATE-HYDROLASE-RXN
R02932	RXN-4761
R04658	RXN2B4Q-54
R08363	CDPREDUCT-RXN
R01101	RXN-17830
R12479	RXN-18928
R10758	RXN-18387
R01524	RXN-23384
R01624	RXN-21721
R02751	DEOXYNUCLEOTIDE-3-PHOSPHATASE-RXN
R00310	PROTOHEMEFERROCHELAT-RXN
R00129	4.2.1.93-RXN
R02245	MEVALONATE-KINASE-RXN
R08207	RXN-8386
R01461	RXN-20231
R01123	IPPISOM-RXN
R10454	RXN-14543
R00145	GLUTDEHYD-RXN
R06131	DSERDEAM-RXN
R10115	RXN-20947
R00910	RXN-11222
R06516	RXN-13729
R01331	3.2.1.137-RXN
R08969	2.7.8.27-RXN
R11125	RXN-15689
R02781	2.6.1.50-RXN
R03342	RXN-19491
R00027	BENZOIN-ALDOLASE-RXN
R10115	RXN-9535
R00908	RXN-2901
R02053	RXN-15067
R10204	RXN-17956
R06771	RXN-23165
R02446	APIGNAR-RXN
R04495	RXN2DNV-27
R12981	RXN-22822
R12290	RXN-14079
R04519	RXN-15521
R11763	RXN-9841
R10540	RXN-14975
R01348	RXN-16400
R11426	RXN-17722
R01624	RXN66-622
R12245	RXN-19750
R00149	RXN-22735
R01813	RXN-8853
R00517	CYTIKIN-RXN
R11531	RXN-17477
R11774	RXN-18556
R08381	RXN-12547
R04423	2.4.1.40-RXN
R12276	RXN-7653
R13102	RXN-23539
R10158	RXNMETA-12666
R03948	2.1.1.130-RXN
R12236	RXN1G-679
R04085	ALDEHYDE-OXIDASE-RXN
R03977	RXN-17385
R10598	RXN-8424
R04147	5.1.1.17-RXN
R04985	RXN-9238
R10000	RXN-21057
R02683	RXN-22268
R01257	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
R11822	RXN-18784
R03232	RXN-15150
R11342	ERYTHRULOSE-REDUCTASE-RXN
R12317	RXN-20130
R05355	RXN-9885
R10117	RXN-9557
R07409	RXN1F-357
R00014	RXN-6161
R11175	RXN-13076
R06974	GARTRANSFORMYL2-RXN
R08939	RXN-10025
R00544	1.2.99.7-RXN
R00264	25-DIOXOVALERATE-DEHYDROGENASE-RXN
R09785	RXN-13396
R01287	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
R02409	1.8.4.3-RXN
R11229	RXN-16737
R01348	RXN-20389
R01461	RXN-20219
R01999	RXN-9356
R06986	RXN-18915
R03800	BLASTICIDIN-S-DEAMINASE-RXN
R02799	1.1.1.188-RXN
R04239	RXN-11784
R02300	GCVT-RXN
R11553	RXN-17997
R06139	RXN-11490
R04073	PEPTIDE-ASPARTATE-BETA-DIOXYGENASE-RXN
R10298	RXN-13967
R00008	4.1.3.17-RXN
R07786	RXN-22865
R02978	RXN-20505
R08437	RXN-18122
R03582	INDANOL-DEHYDROGENASE-RXN
R02751	RXN-14524
R04806	RXN-13713
R03059	RXN-23003
R00390	RXN66-483
R09625	RXN-11903
R04979	RXN-15289
R02593	RXN-2602
R10954	RXN-15407
R09622	RXN1G-4
R03367	RXN-803
R02053	RXN-16138
R11532	RXN-8838
R13038	RXN-22672
R05820	TRANS-RXN-169
R01166	RXN0-6979
R11659	RXN-18406
R07772	RXN-8763
R05300	MUCONATE-CYCLOISOMERASE-RXN
R10115	RXN-9654
R05221	RXN-14063
R11351	RXN-17511
R04776	GLUTAMINE-N-PHENYLACETYLTRANSFERASE-RXN
R10563	GLYCEROL-DEHYDROGENASE-NADP+-RXN
R10924	RXN-13509
R08920	RXN-9773
R03860	RXN-19981
R05666	RXN-23320
R00001	ENDOPOLYPHOSPHATASE-RXN
R08962	RXN-9297
R09670	RXN-23657
R04104	CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN
R10779	RXN-15647
R07289	2.8.2.34-RXN
R03438	RXN-16045
R06238	RXN-5463
R01172	RXN-12736
R05584	RXN-865
R04666	BETA-UREIDOPROPIONASE-RXN
R00196	L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
R04094	RXN-18222
R10547	RXN8J2-138
R12657	2.1.1.64-RXN
R11405	RXN-15538
R04608	RXN-16609
R02179	2.4.1.127-RXN
R07796	RXN-19897
R10677	RXN-15266
R10419	RXN-14537
R07388	RXN-17740
R12677	RXN-21493
R09541	RXN0-6941
R01624	RXN66-638
R01583	D-GLUTAMATE-CYCLASE-RXN
R00327	6-ACETYLGLUCOSE-DEACETYLASE-RXN
R09941	RXN-12958
R12726	RXN-21145
R10908	RXN-11141
R08220	RXN-12575
R00517	URKI-RXN
R10163	RXN-13478
R06071	2.4.1.82-RXN
R11916	RXN-19275
R01320	2.1.1.16-RXN
R01156	ACETYLPUTRESCINE-DEACETYLASE-RXN
R05221	2.7.1.156-RXN
R03944	ALKYLGLYCERONE-KINASE-RXN
R09509	RXN-9777
R02509	NN-DIMETHYLFORMAMIDASE-RXN
R01175	RXN-14785
R05177	5.4.1.2-RXN
R07760	RXN-20377
R05632	RXN-9914
R00155	RXN-12197
R01486	ARYL-ALDEHYDE-DEHYDROGENASE-RXN
R01342	RXN-7563
R03766	HAMAMELOSE-KINASE-RXN
R12287	RXN-17316
R10222	RXN-14183
R12366	RXN-22204
R03642	RXN-13610
R12692	RXN-21998
R00674	RXN0-2382
R00792	NITRATE-REDUCTASE-CYTOCHROME-RXN
R12236	RXN1G-1325
R02461	ORNMUTST-RXN
R02745	3.3.2.5-RXN
R07422	RXN-6683
R02207	RXN-21985
R07538	RXN-10670
R12729	RXN-19482
R05241	1.3.1.56-RXN
R00499	S-SUCCINYLGLUTATHIONE-HYDROLASE-RXN
R03894	RXN-7692
R07668	RXN-22567
R13011	RXN-21282
R10635	RXN-16773
R10834	RXN-9372
R07309	3.8.1.11-RXN
R09827	RXN-10036
R06387	RXN-9390
R04099	1.1.1.230-RXN
R03111	RXN-9501
R08970	RXN-10051
R07969	RXN-11517
R01033	RXN-10444
R03526	PHENOL-BETA-GLUCOSYLTRANSFERASE-RXN
R04610	RXN-18304
R05678	1.1.1.260-RXN
R12795	RXN-20521
R04702	1.14.13.56-RXN
R05199	RXN-15184
R03037	ISOCHORMAT-RXN
R10116	RXN0-2142
R06518	RXN-13733
R00644	RXN-12440
R08527	RXN66-500
R00085	RXN-14195
R04495	RXN2DNV-30
R10117	RXN-11477
R04161	HYDROXY-MANDELATE-RACEMASE-RXN
R07786	RXN-11530
R10342	RXN-14338
R01090	2-AMINOHEXANOATE-AMINOTRANSFERASE-RXN
R01625	RXN-10674
R01241	RXN-20739
R01766	PHENYLSERINE-ALDOLASE-RXN
R07137	RXN-11690
R11852	RXN-18944
R02822	RXN-23422
R01199	PYRUFLAVREDUCT-RXN
R03443	N-ACETYLGLUTPREDUCT-RXN
R12498	RXN-19876
R02027	RXN-20534
R01399	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN
R01388	GLYCOLATE-REDUCTASE-RXN
R02240	DIACYLGLYKIN-RXN
R03731	ISOORIENTIN-3-O-METHYLTRANSFERASE-RXN
R02526	L-ARABINONOLACTONASE-RXN
R12462	RXN-20644
R03706	4.2.2.3-RXN
R10136	RXN-2
R02109	3.2.1.33-RXN
R10145	RXN-13751
R02350	ESTRONE-SULFOTRANSFERASE-RXN
R00053	TANNASE-RXN
R10439	RXN-14562
R01835	RXN-23678
R00827	RXN18C3-60
R00238	RXN-11246
R01651	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN
R04439	RXN-16062
R12176	RXN-19538
R03428	2.7.1.139-RXN
R01214	BRANCHED-CHAINAMINOTRANSFERVAL-RXN
R00393	R8-RXN
R11555	RXN2DNV-9
